Target,"Tool name","Scan date","Risk level","Vulnerability name","How to reproduce","Vulnerability description","Risk description",Recommendation,"Test description","Test finished",Port,Protocol,Service,CVE,CVSS,CWE,OWASP2017,OWASP2021
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Website is accessible.",N/A,"Website is accessible.",N/A,N/A,"Starting the scan...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Website is accessible.",N/A,"Website is accessible.",N/A,N/A,"Starting the scan...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for vulnerabilities of server-side software.",N/A,"Nothing was found for vulnerabilities of server-side software.",N/A,N/A,"Checking for vulnerabilities of server-side software...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for vulnerabilities of server-side software.",N/A,"Nothing was found for vulnerabilities of server-side software.",N/A,N/A,"Checking for vulnerabilities of server-side software...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for client access policies.",N/A,"Nothing was found for client access policies.",N/A,N/A,"Checking for client access policies...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for client access policies.",N/A,"Nothing was found for client access policies.",N/A,N/A,"Checking for client access policies...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for absence of the security.txt file.",N/A,"Nothing was found for absence of the security.txt file.",N/A,N/A,"Checking for absence of the security.txt file...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for absence of the security.txt file.",N/A,"Nothing was found for absence of the security.txt file.",N/A,N/A,"Checking for absence of the security.txt file...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for use of untrusted certificates.",N/A,"Nothing was found for use of untrusted certificates.",N/A,N/A,"Checking for use of untrusted certificates...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for use of untrusted certificates.",N/A,"Nothing was found for use of untrusted certificates.",N/A,N/A,"Checking for use of untrusted certificates...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for enabled HTTP debug methods.",N/A,"Nothing was found for enabled HTTP debug methods.",N/A,N/A,"Checking for enabled HTTP debug methods...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for enabled HTTP debug methods.",N/A,"Nothing was found for enabled HTTP debug methods.",N/A,N/A,"Checking for enabled HTTP debug methods...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for enabled HTTP OPTIONS method.",N/A,"Nothing was found for enabled HTTP OPTIONS method.",N/A,N/A,"Checking for enabled HTTP OPTIONS method...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for enabled HTTP OPTIONS method.",N/A,"Nothing was found for enabled HTTP OPTIONS method.",N/A,N/A,"Checking for enabled HTTP OPTIONS method...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for secure communication.",N/A,"Nothing was found for secure communication.",N/A,N/A,"Checking for secure communication...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for secure communication.",N/A,"Nothing was found for secure communication.",N/A,N/A,"Checking for secure communication...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for directory listing.",N/A,"Nothing was found for directory listing.",N/A,N/A,"Checking for directory listing...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for directory listing.",N/A,"Nothing was found for directory listing.",N/A,N/A,"Checking for directory listing...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,N/A,"Checking for missing HTTP header - Strict-Transport-Security...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,"Nothing was found for missing HTTP header - Strict-Transport-Security.",N/A,N/A,"Checking for missing HTTP header - Strict-Transport-Security...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for missing HTTP header - Referrer.",N/A,"Nothing was found for missing HTTP header - Referrer.",N/A,N/A,"Checking for missing HTTP header - Referrer...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for missing HTTP header - Referrer.",N/A,"Nothing was found for missing HTTP header - Referrer.",N/A,N/A,"Checking for missing HTTP header - Referrer...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for HttpOnly flag of cookie.",N/A,"Nothing was found for HttpOnly flag of cookie.",N/A,N/A,"Checking for HttpOnly flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for HttpOnly flag of cookie.",N/A,"Nothing was found for HttpOnly flag of cookie.",N/A,N/A,"Checking for HttpOnly flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for Secure flag of cookie.",N/A,"Nothing was found for Secure flag of cookie.",N/A,N/A,"Checking for Secure flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for Secure flag of cookie.",N/A,"Nothing was found for Secure flag of cookie.",N/A,N/A,"Checking for Secure flag of cookie...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:40:59 UTC+07",Info,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,N/A,"Checking for unsafe HTTP header Content Security Policy...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://www.google.com/,"Website Vulnerability Scanner","2024-08-11 10:23:26 UTC+07",Info,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,"Nothing was found for unsafe HTTP header Content Security Policy.",N/A,N/A,"Checking for unsafe HTTP header Content Security Policy...",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
